initial,initial_label,rhyme,final,reading,status,sino_entry_count,character_count,example_characters
,zero / no written initial,aan,n,aan,attested,3,3,眼㗴𤡥
,zero / no written initial,aen,n,aen,attested,2,2,詽虤
,zero / no written initial,an,n,an,attested,10,10,岸喭頇鴈㷳顏䮗𡹼𡽜𪗙
,zero / no written initial,en,n,en,attested,12,10,犴豻偐雁雃楌鳫贋𤜵𨲊
,zero / no written initial,eon,n,eon,gap,0,0,
,zero / no written initial,ian,n,ian,gap,0,0,
,zero / no written initial,ien,n,ien,attested,14,14,俓泿研圁珢硏釿揅鄞齗齞䖜
,zero / no written initial,in,n,in,attested,15,14,听垠垽𧥺趼誾鳽憗磭䴦㘋㹞
,zero / no written initial,n,n,n,gap,0,0,
,zero / no written initial,oen,n,oen,attested,2,2,圻䭓
,zero / no written initial,on,n,on,attested,2,2,垠泿
,zero / no written initial,uaen,n,uaen,gap,0,0,
,zero / no written initial,uan,n,uan,gap,0,0,
,zero / no written initial,uen,n,uen,attested,29,29,听妘抎斦貟垽紜耺鄆雲愪暈
,zero / no written initial,ueon,n,ueon,gap,0,0,
,zero / no written initial,uin,n,uin,gap,0,0,
,zero / no written initial,un,n,un,attested,32,30,云圻夽忶沄芸垠員狺耘喗運
,zero / no written initial,waan,n,waan,gap,0,0,
,zero / no written initial,waen,n,waen,gap,0,0,
,zero / no written initial,wan,n,wan,gap,0,0,
,zero / no written initial,woen,n,woen,gap,0,0,
,zero / no written initial,won,n,won,gap,0,0,
,zero / no written initial,wyn,n,wyn,gap,0,0,
,zero / no written initial,yeon,n,yeon,gap,0,0,
,zero / no written initial,yn,n,yn,gap,0,0,
,zero / no written initial,aam,m,aam,attested,2,2,巖礹
,zero / no written initial,aem,m,aem,attested,1,1,𡆑
,zero / no written initial,am,m,am,attested,7,6,嵁儑顉㜝䜙𡪁
,zero / no written initial,em,m,em,attested,6,6,嵒羬顑麙黬𧇱
,zero / no written initial,eom,m,eom,attested,5,5,碞𪙊㺂䫡𧬌
,zero / no written initial,iem,m,iem,attested,5,5,唫荶訡碞䪩
,zero / no written initial,im,m,im,attested,6,5,吟崟僸趛𩂢
,zero / no written initial,m,m,m,gap,0,0,
,zero / no written initial,oem,m,oem,gap,0,0,
,zero / no written initial,om,m,om,gap,0,0,
,zero / no written initial,ym,m,ym,gap,0,0,
,zero / no written initial,yom,m,yom,gap,0,0,
,zero / no written initial,aang,ng,aang,attested,2,1,迎
,zero / no written initial,aeng,ng,aeng,attested,9,7,卬仰㭿鞕㟅𡵙𨋕
,zero / no written initial,ang,ng,ang,attested,12,8,昂枊䒢俓娙硬䩕䭹
,zero / no written initial,eng,ng,eng,attested,2,2,矨䀴
,zero / no written initial,eong,ng,eong,gap,0,0,
,zero / no written initial,iaang,ng,iaang,gap,0,0,
,zero / no written initial,iang,ng,iang,gap,0,0,
,zero / no written initial,ieng,ng,ieng,gap,0,0,
,zero / no written initial,ing,ng,ing,attested,2,1,凝
,zero / no written initial,iong,ng,iong,gap,0,0,
,zero / no written initial,iung,ng,iung,gap,0,0,
,zero / no written initial,oeng,ng,oeng,gap,0,0,
,zero / no written initial,ong,ng,ong,attested,4,4,喁顒鰅𩤛
,zero / no written initial,uaang,ng,uaang,gap,0,0,
,zero / no written initial,ueng,ng,ueng,gap,0,0,
,zero / no written initial,ung,ng,ung,attested,1,1,㟅
,zero / no written initial,waang,ng,waang,gap,0,0,
,zero / no written initial,waeng,ng,waeng,gap,0,0,
,zero / no written initial,wang,ng,wang,gap,0,0,
,zero / no written initial,wueng,ng,wueng,gap,0,0,
,zero / no written initial,wung,ng,wung,gap,0,0,
,zero / no written initial,yang,ng,yang,gap,0,0,
,zero / no written initial,yeng,ng,yeng,gap,0,0,
,zero / no written initial,yeong,ng,yeong,gap,0,0,
,zero / no written initial,yng,ng,yng,gap,0,0,
,zero / no written initial,aay,y,aay,attested,4,4,崖猚睚𩂢
,zero / no written initial,aey,y,aey,attested,15,15,厓啀涯硋嵦隑閡儗礙𪘲䙷𢟰
,zero / no written initial,ay,y,ay,attested,13,12,娾剴敳獃皚懝騃譺㱯𤶗𥝌𧏹
,zero / no written initial,eoy,y,eoy,gap,0,0,
,zero / no written initial,ey,y,ey,attested,6,6,毅螘藙䉨𢖫𧅙
,zero / no written initial,uy,y,uy,attested,5,5,沂豙溰顗顡
,zero / no written initial,waay,y,waay,gap,0,0,
,zero / no written initial,waey,y,waey,gap,0,0,
,zero / no written initial,way,y,way,gap,0,0,
,zero / no written initial,wey,y,wey,gap,0,0,
,zero / no written initial,wy,y,wy,gap,0,0,
,zero / no written initial,y,y,y,gap,0,0,
,zero / no written initial,yay,y,yay,gap,0,0,
,zero / no written initial,aaw,w,aaw,attested,12,12,奡滶獒摮熬遨𢿣磝翺鼇䦋𣘢
,zero / no written initial,aew,w,aew,attested,14,12,傲嗷嗸嫯嶅蔜螯驁鰲𩑤𩪕𩳔
,zero / no written initial,aw,w,aw,attested,17,12,敖樂磽聱謷鏊齩鷔䫨𢧴𦪈𦽀
,zero / no written initial,eow,w,eow,gap,0,0,
,zero / no written initial,ew,w,ew,attested,1,1,𧇠
,zero / no written initial,iaew,w,iaew,gap,0,0,
,zero / no written initial,iaw,w,iaw,gap,0,0,
,zero / no written initial,iew,w,iew,gap,0,0,
,zero / no written initial,iw,w,iw,gap,0,0,
,zero / no written initial,oew,w,oew,attested,3,3,蕅藕齵
,zero / no written initial,ow,w,ow,attested,5,4,偶耦髃㼴
,zero / no written initial,yeow,w,yeow,gap,0,0,
,zero / no written initial,aei,i,aei,attested,1,1,鴱
,zero / no written initial,ai,i,ai,attested,2,2,艾𧰿
,zero / no written initial,i,i,i,attested,44,38,兒狋盻堄涯羛晲棿睨竩義蛾
,zero / no written initial,uei,i,uei,attested,23,18,唯蜼蓶踓遺濰孈纗㨊䓈䔺䲊
,zero / no written initial,waei,i,waei,gap,0,0,
,zero / no written initial,wai,i,wai,gap,0,0,
,zero / no written initial,wi,i,wi,gap,0,0,
,zero / no written initial,aak,k,aak,attested,6,6,峉詻頟額䩹䱮
,zero / no written initial,aek,k,aek,attested,19,19,岳堮鄂遌鳽諤嶽鍔瓁顎鰐鑩
,zero / no written initial,ak,k,ak,attested,19,19,咢偔捳㗁崿愕湂㮙萼樂噩𩓥
,zero / no written initial,ek,k,ek,attested,5,5,艗鶂鷁虉𠩫
,zero / no written initial,eok,k,eok,gap,0,0,
,zero / no written initial,iaak,k,iaak,gap,0,0,
,zero / no written initial,iak,k,iak,gap,0,0,
,zero / no written initial,iek,k,iek,attested,9,9,淢琙罭緎蜮薿魊觺㚜
,zero / no written initial,ik,k,ik,attested,10,10,域棫嶷懝㘈䮙𦈸𦱂𪂉𪑝
,zero / no written initial,iok,k,iok,gap,0,0,
,zero / no written initial,iuk,k,iuk,gap,0,0,
,zero / no written initial,oek,k,oek,gap,0,0,
,zero / no written initial,ok,k,ok,attested,1,1,𤛹
,zero / no written initial,uaak,k,uaak,gap,0,0,
,zero / no written initial,uek,k,uek,gap,0,0,
,zero / no written initial,uk,k,uk,gap,0,0,
,zero / no written initial,waak,k,waak,gap,0,0,
,zero / no written initial,waek,k,waek,gap,0,0,
,zero / no written initial,yeok,k,yeok,gap,0,0,
,zero / no written initial,yk,k,yk,gap,0,0,
,zero / no written initial,aach,ch,aach,attested,3,3,屰逆縌
,zero / no written initial,ach,ch,ach,attested,3,3,虐瘧磭
,zero / no written initial,aech,ch,aech,attested,3,3,㘙𠱘𥿬
,zero / no written initial,och,ch,och,attested,4,4,玉頊獄鳿
,zero / no written initial,oech,ch,oech,gap,0,0,
,zero / no written initial,uch,ch,uch,attested,1,1,砡
,zero / no written initial,uech,ch,uech,gap,0,0,
,zero / no written initial,aat,t,aat,attested,3,3,聉𦘍𦤙
,zero / no written initial,aet,t,aet,gap,0,0,
,zero / no written initial,at,t,at,attested,10,10,刖𠱥頇嶭㩵㱚䎳䚴䡾𩮝
,zero / no written initial,eot,t,eot,gap,0,0,
,zero / no written initial,et,t,et,attested,19,18,𣎴屵歺圪耴枿聉聐隉槷櫱齾
,zero / no written initial,iat,t,iat,gap,0,0,
,zero / no written initial,iet,t,iet,gap,0,0,
,zero / no written initial,it,t,it,attested,9,9,臬嶭霓齧䫻𡿖𣅕𦨇𦳯
,zero / no written initial,oet,t,oet,gap,0,0,
,zero / no written initial,ot,t,ot,attested,6,6,圪抭疙觱𢔥𢯮
,zero / no written initial,t,t,t,gap,0,0,
,zero / no written initial,uet,t,uet,gap,0,0,
,zero / no written initial,ut,t,ut,attested,6,6,仡屹崛䁌䬑𧆫
,zero / no written initial,waet,t,waet,gap,0,0,
,zero / no written initial,wat,t,wat,gap,0,0,
,zero / no written initial,woet,t,woet,gap,0,0,
,zero / no written initial,wot,t,wot,gap,0,0,
,zero / no written initial,yeot,t,yeot,gap,0,0,
,zero / no written initial,yt,t,yt,gap,0,0,
,zero / no written initial,aets,ts,aets,attested,4,4,糱䡾䶬𡴎
,zero / no written initial,ats,ts,ats,attested,4,4,闑孼㜸讞
,zero / no written initial,eots,ts,eots,gap,0,0,
,zero / no written initial,ets,ts,ets,attested,4,4,櫱蠥钀𤅊
,zero / no written initial,aap,p,aap,attested,4,3,㬎儑㾑
,zero / no written initial,aep,p,aep,attested,4,4,砐䑥礘𡀾
,zero / no written initial,ap,p,ap,attested,4,4,哈魥礏𥋙
,zero / no written initial,eop,p,eop,gap,0,0,
,zero / no written initial,ep,p,ep,attested,1,1,䀴
,zero / no written initial,iep,p,iep,gap,0,0,
,zero / no written initial,ip,p,ip,attested,3,3,煜熠騽
,zero / no written initial,oep,p,oep,gap,0,0,
,zero / no written initial,op,p,op,gap,0,0,
,zero / no written initial,p,p,p,gap,0,0,
,zero / no written initial,yp,p,yp,gap,0,0,
,zero / no written initial,eov,v,eov,gap,0,0,
